run_started_at_local,input_csv,pdf_pages_dataset,filtered_output_csv,keywords_count,rows_total,rows_relevant,rows_not_relevant,rows_subject_match,rows_pdf_match,rows_pdf_available,filtered_rows_written,success,error_message
2026-02-22 14:08:05,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,36,22970,22886,84,14614,22070,22908,22886,True,NONE
2026-02-24 00:53:06,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,0,0,0,0,0,0,0,False,ValueError: Must have equal len keys and value when setting with an iterable
2026-02-24 00:54:08,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6523,5918,605,2107,5843,6521,5918,True,NONE
2026-02-24 00:56:02,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6523,5918,605,2107,5843,6521,5918,True,NONE
2026-02-24 20:12:08,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6532,5920,612,2109,5843,6521,5920,True,NONE
2026-02-24 20:16:24,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6532,5920,612,2109,5843,6521,5920,True,NONE
2026-02-25 09:34:54,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6533,5921,612,2110,5843,6521,5921,True,NONE
2026-02-25 16:17:26,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6547,5934,613,2116,5853,6531,5934,True,NONE
2026-02-27 11:24:38,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6566,5940,626,2122,5853,6531,5940,True,NONE
2026-02-27 21:45:19,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6589,5945,644,2127,5853,6531,5945,True,NONE
2026-02-28 13:22:49,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia.csv,/Users/troboukis/Code/fire_protection_2026/data/pdf_pages_dataset.csv,/Users/troboukis/Code/fire_protection_2026/data/2026_diavgeia_filtered.csv,34,6590,5945,645,2127,5853,6531,5945,True,NONE
